Milliseconds,GyroX,GyroY,GyroZ
1000,0.30319148936170215,-0.14468085106382977,0.20319148936170212
1010.10101010101,0.28617021276595744,-0.18617021276595744,0.22446808510638297
1020.2020202020202,0.30851063829787234,-0.24680851063829787,0.2553191489361702
1030.3030303030303,0.2765957446808511,-0.24361702127659574,0.20425531914893616
1040.4040404040404,0.1946808510638298,-0.13297872340425532,0.07127659574468086
1050.5050505050506,0.16489361702127658,-0.05106382978723404,-0.02446808510638298
1060.6060606060605,0.09787234042553192,-0.02127659574468085,-0.07872340425531915
1070.7070707070707,0.047872340425531915,-0.06914893617021277,-0.09042553191489362
1080.8080808080808,-0.04148936170212766,-0.18085106382978725,-0.09148936170212765
1090.909090909091,-0.19574468085106383,-0.24361702127659574,-0.16276595744680852
1101.010101010101,-0.2797872340425532,-0.2297872340425532,-0.28829787234042553
1111.111111111111,-0.23404255319148937,-0.2,-0.3553191489361702
1121.2121212121212,-0.11595744680851064,-0.1797872340425532,-0.2925531914893617
1131.3131313131312,-0.05851063829787234,-0.14148936170212767,-0.16702127659574467
1141.4141414141413,-0.09574468085106383,-0.10212765957446808,-0.015957446808510637
1151.5151515151515,-0.19680851063829788,-0.11063829787234042,0.12340425531914893
1161.6161616161617,-0.2531914893617021,-0.16914893617021276,0.15
1171.7171717171718,-0.23085106382978723,-0.225531914893617,0.10212765957446808
1181.8181818181818,-0.21808510638297873,-0.26276595744680853,0.030851063829787233
1191.919191919192,-0.3382978723404255,-0.28297872340425534,-0.027659574468085105
1202.020202020202,-0.4531914893617021,-0.2957446808510638,-0.07765957446808511
1212.121212121212,-0.47127659574468084,-0.3021276595744681,-0.05851063829787234
1222.2222222222222,-0.41808510638297874,-0.30957446808510636,-0.022340425531914895
1232.3232323232323,-0.3021276595744681,-0.3202127659574468,0.02553191489361702
1242.4242424242425,-0.16702127659574467,-0.35106382978723405,0.10531914893617021
1252.5252525252524,-0.11808510638297873,-0.36914893617021277,0.1829787234042553
1262.6262626262626,-0.125531914893617,-0.3446808510638298,0.2680851063829787
1272.7272727272727,-0.20638297872340425,-0.32659574468085106,0.3478723404255319
1282.8282828282827,-0.3670212765957447,-0.3202127659574468,0.3595744680851064
1292.9292929292928,-0.55,-0.31382978723404253,0.32659574468085106
1303.030303030303,-0.6553191489361702,-0.36914893617021277,0.3021276595744681
1313.1313131313132,-0.6308510638297873,-0.46702127659574466,0.30851063829787234
1323.2323232323233,-0.48936170212765956,-0.5382978723404256,0.3446808510638298
1333.3333333333333,-0.3606382978723404,-0.6,0.41808510638297874
1343.4343434343434,-0.19680851063829788,-0.6936170212765957,0.5212765957446809
1353.5353535353536,-0.12127659574468085,-0.7457446808510638,0.5276595744680851
1363.6363636363635,-0.22446808510638297,-0.7148936170212766,0.3946808510638298
1373.7373737373737,-0.42872340425531913,-0.6159574468085106,0.23191489361702128
1383.8383838383838,-0.6361702127659574,-0.5223404255319148,0.12127659574468085
1393.939393939394,-0.6553191489361702,-0.4957446808510638,0.10212765957446808
1404.0404040404042,-0.5808510638297872,-0.474468085106383,0.17553191489361702
1414.141414141414,-0.5808510638297872,-0.40638297872340423,0.2872340425531915
1424.2424242424242,-0.6829787234042554,-0.3021276595744681,0.3797872340425532
1434.3434343434342,-0.7244680851063829,-0.2648936170212766,0.4957446808510638
1444.4444444444443,-0.9702127659574468,-0.225531914893617,0.4127659574468085
1454.5454545454545,-0.8127659574468085,-0.3393617021276596,0.3797872340425532
1464.6464646464647,-0.8319148936170213,-0.44574468085106383,0.2670212765957447
1474.7474747474748,-0.975531914893617,-0.5382978723404256,0.04148936170212766
