Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
4565,48.8639117,2.6324996,82.745,2.415,2.2,1547384548439000,247,3
4620,48.8639103,2.6325,82.741,2.544,2.43,1547384548494000,247,3
4675,48.863909,2.6325001,82.738,2.421,2.56,1547384548549000,247,3
4730,48.8639079,2.6325004,82.761,2.392,2.43,1547384548604000,247,3
4785,48.8639066,2.6325009,82.762,2.507,2.4,1547384548659000,247,3
4840,48.863905,2.6325013,82.775,2.715,2.52,1547384548714000,247,3
4895,48.8639034,2.6325015,82.72,2.801,2.72,1547384548769000,247,3
4950,48.8639017,2.6325016,82.695,2.876,2.81,1547384548824000,247,3
5004,48.8639002,2.6325018,82.667,2.874,2.88,1547384548878000,247,3
5059,48.8638988,2.6325022,82.717,2.949,2.88,1547384548933000,247,3
5114,48.8638973,2.6325027,82.723,2.921,2.96,1547384548988000,247,3
5169,48.863896,2.6325031,82.709,2.812,2.93,1547384549043000,247,3
5224,48.8638946,2.6325031,82.694,2.751,2.82,1547384549098000,247,3
5279,48.8638931,2.6325034,82.687,2.835,2.76,1547384549153000,247,3
5334,48.8638915,2.6325038,82.683,2.944,2.84,1547384549208000,247,3
5389,48.8638904,2.6325041,82.686,2.722,2.95,1547384549263000,247,3
5444,48.8638892,2.6325038,82.673,2.517,2.73,1547384549318000,247,3
5499,48.8638875,2.6325036,82.641,2.718,2.52,1547384549373000,247,3
5555,48.863886,2.6325037,82.622,2.74,2.72,1547384549429000,247,3
5609,48.8638848,2.6325036,82.615,2.639,2.74,1547384549483000,247,3
5664,48.8638834,2.6325033,82.607,2.668,2.64,1547384549538000,247,3
5719,48.863882,2.6325029,82.626,2.712,2.67,1547384549593000,247,3
5775,48.8638806,2.6325027,82.66,2.757,2.71,1547384549649000,247,3
5829,48.8638792,2.6325028,82.663,2.764,2.76,1547384549703000,247,3
5884,48.8638779,2.6325028,82.649,2.679,2.77,1547384549758000,247,3
5939,48.8638766,2.6325026,82.661,2.645,2.68,1547384549813000,247,3
5995,48.8638753,2.6325022,82.694,2.719,2.65,1547384549869000,247,3
6050,48.863874,2.6325021,82.698,2.685,2.72,1547384549924000,247,3
6105,48.8638726,2.6325021,82.677,2.705,2.69,1547384549979000,247,3
6160,48.8638712,2.6325017,82.689,2.685,2.71,1547384550034000,247,3
6215,48.8638702,2.6325013,82.712,2.572,2.69,1547384550089000,247,3
6270,48.8638689,2.632501,82.712,2.569,2.57,1547384550144000,247,3
6325,48.8638677,2.6325008,82.702,2.526,2.57,1547384550199000,247,3
6380,48.863866,2.6325006,82.663,2.716,2.53,1547384550254000,247,3
6435,48.8638646,2.6325,82.658,2.728,2.72,1547384550309000,247,3
6490,48.8638634,2.6324995,82.673,2.667,2.73,1547384550364000,247,3
6545,48.863862,2.6324988,82.664,2.75,2.67,1547384550419000,247,3
6600,48.8638605,2.632498,82.648,2.869,2.75,1547384550474000,247,3
6655,48.8638591,2.6324969,82.669,3.001,2.87,1547384550529000,247,3
6710,48.8638574,2.632496,82.63,3.146,3,1547384550584000,247,3
6765,48.8638559,2.6324954,82.652,3.142,3.15,1547384550639000,247,3
6820,48.8638543,2.6324946,82.657,3.261,3.14,1547384550694000,247,3
6875,48.8638527,2.6324936,82.628,3.278,3.26,1547384550749000,247,3
6930,48.8638513,2.6324929,82.668,3.238,3.28,1547384550804000,247,3
6985,48.8638497,2.6324925,82.65,3.189,3.24,1547384550859000,247,3
7040,48.8638481,2.6324923,82.642,3.2,3.19,1547384550914000,247,3
7095,48.8638464,2.6324918,82.638,3.28,3.2,1547384550969000,247,3
7150,48.863845,2.6324914,82.66,3.243,3.28,1547384551024000,247,3
7205,48.8638433,2.6324907,82.644,3.311,3.24,1547384551079000,247,3
7260,48.8638416,2.63249,82.632,3.391,3.31,1547384551134000,247,3
7315,48.8638401,2.6324895,82.672,3.409,3.39,1547384551189000,247,3
7370,48.8638385,2.6324891,82.665,3.37,3.41,1547384551244000,247,3
7425,48.863837,2.6324886,82.636,3.369,3.37,1547384551299000,247,3
7480,48.8638354,2.6324879,82.661,3.415,3.37,1547384551354000,247,3
7535,48.8638337,2.6324872,82.677,3.496,3.42,1547384551409000,247,3
7590,48.8638319,2.6324867,82.677,3.527,3.5,1547384551464000,247,3
7645,48.8638301,2.6324861,82.641,3.579,3.53,1547384551519000,247,3
7700,48.8638283,2.6324856,82.616,3.592,3.58,1547384551574000,247,3
