Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.8638136,2.6326462,83.257,2.985,2.94,1547385595145000,159,3
54,48.8638125,2.6326456,83.24,2.808,2.98,1547385595199000,159,3
109,48.8638114,2.632645,83.224,2.62,2.81,1547385595254000,159,3
164,48.8638101,2.6326444,83.215,2.708,2.62,1547385595309000,159,3
219,48.8638087,2.6326438,83.211,2.837,2.71,1547385595364000,159,3
274,48.8638075,2.6326432,83.207,2.697,2.84,1547385595419000,159,3
329,48.8638063,2.6326425,83.213,2.685,2.7,1547385595474000,159,3
384,48.8638049,2.6326419,83.218,2.806,2.69,1547385595529000,159,3
439,48.8638034,2.6326412,83.218,2.879,2.81,1547385595584000,159,3
494,48.863802,2.6326406,83.202,2.883,2.88,1547385595639000,159,3
549,48.8638008,2.6326401,83.208,2.814,2.88,1547385595694000,159,3
605,48.8637993,2.6326396,83.211,2.84,2.81,1547385595750000,159,3
659,48.8637978,2.6326391,83.191,2.947,2.84,1547385595804000,159,3
714,48.8637962,2.6326385,83.195,3.079,2.95,1547385595859000,159,3
769,48.8637946,2.6326379,83.198,3.137,3.08,1547385595914000,159,3
825,48.8637932,2.6326374,83.198,3.048,3.14,1547385595970000,159,3
879,48.8637917,2.6326369,83.161,3.023,3.05,1547385596024000,159,3
934,48.8637903,2.6326364,83.13,3,3.02,1547385596079000,159,3
989,48.8637886,2.632636,83.124,3.107,3,1547385596134000,159,3
1045,48.863787,2.6326352,83.129,3.218,3.11,1547385596190000,159,3
1100,48.8637854,2.6326344,83.107,3.252,3.22,1547385596245000,159,3
1155,48.8637839,2.6326337,83.096,3.234,3.25,1547385596300000,159,3
1210,48.8637821,2.6326329,83.075,3.452,3.24,1547385596355000,159,3
1265,48.8637801,2.6326318,83.069,3.689,3.45,1547385596410000,159,3
1320,48.8637783,2.6326309,83.057,3.758,3.69,1547385596465000,159,3
1375,48.8637766,2.6326301,83.043,3.695,3.76,1547385596520000,159,3
1430,48.863775,2.632629,83.038,3.635,3.7,1547385596575000,159,3
1485,48.8637734,2.6326281,83.047,3.569,3.64,1547385596630000,159,3
1540,48.8637717,2.6326271,83.065,3.657,3.57,1547385596685000,159,3
1595,48.8637698,2.6326261,83.08,3.799,3.66,1547385596740000,159,3
1650,48.863768,2.6326251,83.09,3.81,3.8,1547385596795000,159,3
1705,48.8637664,2.6326241,83.105,3.733,3.81,1547385596850000,159,3
1760,48.8637649,2.6326231,83.132,3.618,3.73,1547385596905000,159,3
1815,48.8637632,2.632622,83.154,3.636,3.62,1547385596960000,159,3
1870,48.8637614,2.6326211,83.16,3.655,3.64,1547385597015000,159,3
1925,48.8637597,2.6326202,83.166,3.672,3.65,1547385597070000,159,3
1980,48.863758,2.6326192,83.185,3.657,3.67,1547385597125000,159,3
2035,48.8637565,2.6326182,83.192,3.6,3.66,1547385597180000,159,3
2090,48.8637547,2.6326172,83.19,3.665,3.6,1547385597235000,159,3
2145,48.8637528,2.6326162,83.18,3.733,3.66,1547385597290000,159,3
2200,48.863751,2.6326151,83.194,3.86,3.73,1547385597345000,159,3
2255,48.8637493,2.6326143,83.21,3.736,3.86,1547385597400000,159,3
2310,48.8637477,2.6326135,83.217,3.559,3.74,1547385597455000,159,3
2365,48.8637462,2.6326124,83.227,3.545,3.56,1547385597510000,159,3
2420,48.8637444,2.6326115,83.227,3.565,3.55,1547385597565000,159,3
2475,48.8637426,2.6326107,83.233,3.64,3.57,1547385597620000,159,3
2530,48.8637409,2.6326098,83.248,3.65,3.64,1547385597675000,159,3
2585,48.8637391,2.6326089,83.24,3.627,3.65,1547385597730000,159,3
2640,48.8637375,2.6326079,83.23,3.542,3.63,1547385597785000,159,3
2695,48.8637359,2.632607,83.225,3.55,3.54,1547385597840000,159,3
2750,48.8637341,2.6326062,83.209,3.613,3.55,1547385597895000,159,3
2805,48.8637323,2.6326053,83.174,3.683,3.61,1547385597950000,159,3
2860,48.8637306,2.6326041,83.159,3.721,3.68,1547385598005000,159,3
2915,48.863729,2.632603,83.146,3.64,3.72,1547385598060000,159,3
2970,48.8637275,2.6326018,83.114,3.563,3.64,1547385598115000,159,3
3025,48.8637258,2.6326006,83.088,3.632,3.56,1547385598170000,159,3
3080,48.8637241,2.6325992,83.058,3.683,3.63,1547385598225000,159,3
3135,48.8637225,2.632598,83.05,3.633,3.68,1547385598280000,159,3
3190,48.863721,2.6325969,83.038,3.511,3.63,1547385598335000,159,3
3245,48.8637193,2.6325958,83.039,3.585,3.51,1547385598390000,159,3
3300,48.8637176,2.6325947,83.038,3.677,3.59,1547385598445000,159,3
3355,48.8637159,2.6325938,83.055,3.597,3.68,1547385598500000,159,3
3410,48.8637142,2.6325928,83.061,3.626,3.6,1547385598555000,159,3
3465,48.8637126,2.6325917,83.09,3.621,3.63,1547385598610000,159,3
3520,48.8637109,2.6325906,83.115,3.709,3.62,1547385598665000,159,3
3575,48.863709,2.6325897,83.123,3.777,3.71,1547385598720000,159,3
3630,48.8637072,2.632589,83.151,3.791,3.78,1547385598775000,159,3
3685,48.8637056,2.6325882,83.195,3.697,3.79,1547385598830000,159,3
3740,48.863704,2.6325876,83.218,3.588,3.7,1547385598885000,159,3
3795,48.8637022,2.632587,83.237,3.589,3.59,1547385598940000,159,3
3850,48.8637005,2.6325863,83.242,3.598,3.59,1547385598995000,159,3
3905,48.8636988,2.6325856,83.252,3.608,3.6,1547385599050000,159,3
3960,48.8636971,2.632585,83.258,3.551,3.61,1547385599105000,159,3
4015,48.8636955,2.6325844,83.269,3.457,3.55,1547385599160000,159,3
4073,48.8636921,2.6325833,83.274,3.524,3.46,1547385599218000,159,3
4131,48.8636904,2.6325827,83.276,3.545,3.53,1547385599276000,159,3
4189,48.8636888,2.632582,83.278,3.476,3.55,1547385599334000,159,3
4247,48.8636871,2.6325812,83.259,3.479,3.48,1547385599392000,159,3
4305,48.8636855,2.6325803,83.252,3.436,3.48,1547385599450000,159,3
4363,48.8636841,2.6325796,83.261,3.325,3.44,1547385599508000,159,3
4421,48.8636825,2.6325787,83.274,3.306,3.33,1547385599566000,159,3
4479,48.8636809,2.6325779,83.257,3.351,3.31,1547385599624000,159,3
4537,48.8636792,2.6325771,83.255,3.377,3.35,1547385599682000,159,3
4595,48.8636776,2.6325764,83.262,3.383,3.38,1547385599740000,159,3
4653,48.863676,2.6325755,83.273,3.413,3.38,1547385599798000,159,3
4711,48.8636745,2.6325747,83.277,3.366,3.41,1547385599856000,159,3
4769,48.863673,2.6325737,83.27,3.338,3.37,1547385599914000,159,3
4827,48.8636715,2.632573,83.264,3.327,3.34,1547385599972000,159,3
4885,48.8636698,2.6325723,83.265,3.379,3.33,1547385600030000,159,3
4943,48.8636683,2.6325712,83.295,3.453,3.38,1547385600088000,159,3
5001,48.863667,2.63257,83.304,3.327,3.45,1547385600146000,159,3
5060,48.8636655,2.6325689,83.264,3.299,3.33,1547385600205000,159,3
5115,48.8636638,2.6325679,83.229,3.408,3.3,1547385600260000,159,3
5170,48.863662,2.632567,83.195,3.434,3.41,1547385600315000,159,3
5225,48.8636602,2.632566,83.156,3.577,3.43,1547385600370000,159,3
5280,48.8636586,2.6325651,83.158,3.493,3.58,1547385600425000,159,3
5335,48.8636572,2.6325643,83.166,3.312,3.49,1547385600480000,159,3
5390,48.8636556,2.6325637,83.16,3.327,3.31,1547385600535000,159,3
5445,48.8636539,2.632563,83.171,3.369,3.33,1547385600590000,159,3
5500,48.8636523,2.6325622,83.18,3.42,3.37,1547385600645000,159,3
5555,48.8636507,2.6325614,83.198,3.453,3.42,1547385600700000,159,3
5610,48.8636488,2.6325607,83.191,3.583,3.45,1547385600755000,159,3
5665,48.8636471,2.6325598,83.178,3.614,3.58,1547385600810000,159,3
5720,48.8636455,2.6325589,83.165,3.571,3.61,1547385600865000,159,3
5775,48.8636439,2.632558,83.163,3.516,3.57,1547385600920000,159,3
5830,48.8636422,2.6325571,83.174,3.526,3.52,1547385600975000,159,3
5885,48.8636405,2.6325561,83.169,3.635,3.53,1547385601030000,159,3
5940,48.8636386,2.6325551,83.163,3.763,3.64,1547385601085000,159,3
5995,48.8636367,2.6325541,83.128,3.8,3.76,1547385601140000,159,3
6050,48.863635,2.632553,83.125,3.803,3.8,1547385601195000,159,3
6105,48.8636331,2.6325518,83.136,3.965,3.8,1547385601250000,159,3
6160,48.863631,2.6325507,83.103,4.094,3.96,1547385601305000,159,3
6215,48.8636291,2.6325498,83.09,3.999,4.1,1547385601360000,159,3
6270,48.8636272,2.6325487,83.089,4.077,4,1547385601415000,159,3
6325,48.863625,2.6325475,83.073,4.246,4.08,1547385601470000,159,3
6380,48.863623,2.6325462,83.058,4.326,4.25,1547385601525000,159,3
6435,48.8636209,2.632545,83.046,4.343,4.33,1547385601580000,159,3
6490,48.863619,2.6325439,83.077,4.326,4.34,1547385601635000,159,3
6545,48.8636171,2.6325427,83.109,4.273,4.33,1547385601690000,159,3
6600,48.8636151,2.6325414,83.134,4.369,4.27,1547385601745000,159,3
6655,48.8636132,2.63254,83.167,4.398,4.37,1547385601800000,159,3
6710,48.8636111,2.6325391,83.155,4.358,4.4,1547385601855000,159,3
6765,48.8636092,2.6325383,83.159,4.255,4.36,1547385601910000,159,3
6820,48.8636072,2.6325372,83.157,4.289,4.25,1547385601965000,159,3
6875,48.8636051,2.6325359,83.149,4.396,4.29,1547385602020000,159,3
6930,48.8636029,2.6325348,83.167,4.505,4.4,1547385602075000,159,3
6985,48.8636007,2.6325338,83.176,4.609,4.51,1547385602130000,159,3
7040,48.8635985,2.6325324,83.182,4.689,4.61,1547385602185000,159,3
7095,48.8635963,2.6325311,83.187,4.745,4.69,1547385602240000,159,3
7150,48.8635942,2.6325301,83.169,4.613,4.74,1547385602295000,159,3
7205,48.8635919,2.6325292,83.173,4.645,4.61,1547385602350000,159,3
7260,48.8635896,2.6325281,83.186,4.73,4.64,1547385602405000,159,3
7315,48.8635874,2.6325272,83.179,4.699,4.73,1547385602460000,159,3
7370,48.8635849,2.6325263,83.168,4.811,4.7,1547385602515000,159,3
7425,48.8635826,2.6325253,83.138,4.815,4.81,1547385602570000,159,3
7480,48.8635803,2.6325243,83.124,4.764,4.81,1547385602625000,159,3
7535,48.8635781,2.6325231,83.115,4.771,4.76,1547385602680000,159,3
7590,48.8635757,2.6325218,83.108,4.924,4.77,1547385602735000,159,3
7645,48.8635733,2.6325205,83.109,5.035,4.92,1547385602790000,159,3
7700,48.8635706,2.6325192,83.129,5.28,5.04,1547385602845000,159,3
7755,48.8635682,2.632518,83.168,5.255,5.28,1547385602900000,159,3
7810,48.8635658,2.6325168,83.198,5.214,5.26,1547385602955000,159,3
7865,48.8635635,2.6325154,83.223,5.166,5.21,1547385603010000,159,3
7920,48.8635612,2.632514,83.234,5.162,5.17,1547385603065000,159,3
7975,48.8635588,2.6325125,83.246,5.165,5.16,1547385603120000,159,3
8030,48.8635563,2.6325111,83.228,5.214,5.17,1547385603175000,159,3
8085,48.8635539,2.6325096,83.219,5.212,5.21,1547385603230000,159,3
8140,48.8635515,2.6325081,83.207,5.189,5.21,1547385603285000,159,3
8195,48.8635489,2.6325068,83.183,5.264,5.19,1547385603340000,159,3
8250,48.8635464,2.6325053,83.174,5.304,5.26,1547385603395000,159,3
8305,48.8635439,2.6325038,83.178,5.382,5.3,1547385603450000,159,3
8360,48.8635415,2.6325022,83.198,5.372,5.38,1547385603505000,159,3
8415,48.8635392,2.6325005,83.201,5.296,5.37,1547385603560000,159,3
8470,48.8635368,2.632499,83.178,5.241,5.3,1547385603615000,159,3
8525,48.8635342,2.6324974,83.171,5.38,5.24,1547385603670000,159,3
8580,48.8635316,2.6324957,83.169,5.5,5.38,1547385603725000,159,3
8635,48.8635292,2.6324939,83.181,5.54,5.5,1547385603780000,159,3
8690,48.8635268,2.6324921,83.188,5.465,5.54,1547385603835000,159,3
8745,48.8635244,2.6324904,83.188,5.444,5.46,1547385603890000,159,3
8800,48.8635218,2.6324891,83.196,5.429,5.44,1547385603945000,159,3
8855,48.8635193,2.6324875,83.225,5.46,5.43,1547385604000000,159,3
8910,48.8635168,2.6324859,83.256,5.571,5.46,1547385604055000,159,3
8965,48.8635142,2.6324843,83.272,5.579,5.57,1547385604110000,159,3
9020,48.8635116,2.6324827,83.266,5.62,5.58,1547385604165000,159,3
9074,48.863509,2.6324813,83.261,5.644,5.62,1547385604219000,159,3
9129,48.8635064,2.6324799,83.263,5.587,5.64,1547385604274000,159,3
9184,48.8635038,2.6324784,83.297,5.593,5.59,1547385604329000,159,3
9239,48.8635012,2.6324768,83.311,5.638,5.59,1547385604384000,159,3
9294,48.8634985,2.6324755,83.281,5.652,5.64,1547385604439000,159,3
9349,48.8634958,2.632474,83.263,5.658,5.65,1547385604494000,159,3
9404,48.8634934,2.6324721,83.299,5.607,5.66,1547385604549000,159,3
9459,48.8634909,2.6324703,83.296,5.608,5.61,1547385604604000,159,3
9514,48.8634882,2.6324686,83.272,5.641,5.61,1547385604659000,159,3
9569,48.8634855,2.6324669,83.263,5.751,5.64,1547385604714000,159,3
9625,48.863483,2.6324653,83.264,5.647,5.75,1547385604770000,159,3
9679,48.8634805,2.6324635,83.234,5.616,5.65,1547385604824000,159,3
9734,48.8634777,2.6324619,83.245,5.747,5.62,1547385604879000,159,3
9789,48.8634752,2.6324603,83.262,5.675,5.75,1547385604934000,159,3
